unique_id	sequence_id	Species	Population	sample_common_name	sample_supplier_name	read_files	Coverage	read_type
24	D24_2	G. orientalis	Kythira	EastMed_stout	KYT_44	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D24_2_{}.fq.gz	5X	fastq_pe
25	D25	G. hofrichteri	NNE-Mades	EastMed_slender	GWC_St4_71	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D25_{}.fq.gz	15X	fastq_pe
26	D26	G. hofrichteri	NNE-Mades	EastMed_slender	GWC_St4_72	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D26_{}.fq.gz	5X	fastq_pe
27	D27_2	G. hofrichteri	NNE-Mades	EastMed_slender	GWC_St4_73	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D27_2_{}.fq.gz	5X	fastq_pe
28	D28_2	G. hofrichteri	NNE-Mades	EastMed_slender	GWC_St4_74	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D28_2_{}.fq.gz	5X	fastq_pe
29	D29	G. hofrichteri	NNE-Mades	EastMed_slender	GWC_St4_75	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D29_{}.fq.gz	5X	fastq_pe
30	D30	G. hofrichteri	NNE-Mades	EastMed_slender	GWC_St4_76	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D30_{}.fq.gz	5X	fastq_pe
31	D31	G. hofrichteri	NW-Petres	EastMed_slender	GWC_St2_23	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D31_{}.fq.gz	5X	fastq_pe
32	D32	G. hofrichteri	NW-Petres	EastMed_slender	GWC_St2_25	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D32_{}.fq.gz	5X	fastq_pe
33	D33	G. hofrichteri	NW-Petres	EastMed_slender	GWC_St2_27	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D33_{}.fq.gz	5X	fastq_pe
34	D34	G. hofrichteri	NW-Petres	EastMed_slender	GWC_St2_29	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D34_{}.fq.gz	5X	fastq_pe
35	D35	G. hofrichteri	NW-Petres	EastMed_slender	GWC_St2_31	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D35_{}.fq.gz	5X	fastq_pe
36	D36	G. hofrichteri	NW-Petres	EastMed_slender	GWC_St2_33	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D36_{}.fq.gz	15X	fastq_pe
37	D37_2	G. orientalis	NNE-Mades	EastMed_stout	GWC_St4_81	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D37_2_{}.fq.gz	15X	fastq_pe
38	D38	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_20	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D38_{}.fq.gz	5X	fastq_pe
39	D39	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_21	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D39_{}.fq.gz	5X	fastq_pe
40	D40	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_22	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D40_{}.fq.gz	5X	fastq_pe
41	D41	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_24	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D41_{}.fq.gz	5X	fastq_pe
42	D42	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_26	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D42_{}.fq.gz	15X	fastq_pe
43	D43_2	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_28	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D43_2_{}.fq.gz	5X	fastq_pe
44	D44	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_30	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D44_{}.fq.gz	5X	fastq_pe
45	D45	G. orientalis	NW-Petres	EastMed_stout	GWC_St2_32	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D45_{}.fq.gz	5X	fastq_pe
46	D46	G. hofrichteri	SE-Vatos	EastMed_slender	GWC_St3_39	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D46_{}.fq.gz	15X	fastq_pe
47	D47	G. hofrichteri	SE-Vatos	EastMed_slender	GWC_St3_45	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D47_{}.fq.gz	15X	fastq_pe
48	D48	G. hofrichteri	SE-Vatos	EastMed_slender	GWC_St3_53	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D48_{}.fq.gz	5X	fastq_pe
49	D49	G. hofrichteri	SE-Vatos	EastMed_slender	GWC_St3_55	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D49_{}.fq.gz	5X	fastq_pe
50	D50	G. hofrichteri	SE-Vatos	EastMed_slender	GWC_St3_57	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D50_{}.fq.gz	5X	fastq_pe
51	D51_2	G. orientalis	SE-Vatos	EastMed_stout	GWC_St3_38	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D51_2_{}.fq.gz	15X	fastq_pe
52	D52	G. orientalis	SE-Vatos	EastMed_stout	GWC_St3_40	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D52_{}.fq.gz	15X	fastq_pe
53	D53	G. orientalis	SE-Vatos	EastMed_stout	GWC_St3_41	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D53_{}.fq.gz	5X	fastq_pe
